"","data_date","ID","Payment","Payment.Date"
"2187","2012-04-13",219,20,"2012-03-05"
"2189","2012-04-13",221,84.45,"2012-04-13"
"2199","2012-04-13",240,20,"2012-02-02"
"2202","2012-04-13",19,20,"2012-03-07"
"2203","2012-04-13",11,40,"2012-03-06"
"2206","2012-04-13",241,20,"2012-02-02"
"2208","2012-04-13",146,15,"2012-03-06"
"2209","2012-04-13",47,20,"2012-03-06"
"2210","2012-04-13",150,15,"2012-03-07"
"2211","2012-04-13",145,20,"2012-03-23"
"2212","2012-04-13",50,20,"2012-03-28"
"2217","2012-04-13",154,10,"2012-04-10"
"2218","2012-04-13",14,10,"2012-04-10"
"2225","2012-06-13",7,16.3,"2012-06-12"
"2226","2012-06-13",10,10,"2012-06-12"
"2227","2012-06-13",11,30,"2012-04-18"
"2234","2012-06-13",14,20,"2012-05-12"
"2236","2012-06-13",24,3.7,"2012-06-12"
"2238","2012-06-13",26,10,"2012-06-01"
"2239","2012-06-13",28,20,"2012-06-06"
"2242","2012-06-13",34,40,"2012-04-30"
"2251","2012-06-13",47,60,"2012-05-31"
"2255","2012-06-13",51,36.81,"2012-06-12"
"2257","2012-06-13",55,80,"2012-06-06"
"2266","2012-06-13",70,20,"2012-04-24"
"2288","2012-06-13",108,10,"2012-05-02"
"2291","2012-06-13",112,20,"2012-06-12"
"2298","2012-06-13",122,40,"2012-05-03"
"2299","2012-06-13",124,20,"2012-05-07"
"2310","2012-06-13",142,20,"2012-05-03"
"2314","2012-06-13",147,40,"2012-05-04"
"2316","2012-06-13",150,20,"2012-06-01"
"2322","2012-06-13",161,10.45,"2012-06-12"
"2330","2012-06-13",176,10,"2012-04-26"
"2340","2012-06-13",198,45,"2012-06-12"
"2341","2012-06-13",199,20,"2012-04-23"
"2356","2012-06-13",221,15,"2012-04-13"
"2358","2012-06-13",223,20,"2012-06-08"
"2360","2012-06-13",228,-10.45,"2012-06-12"
"2367","2012-06-13",240,40,"2012-04-13"
"2371","2012-06-13",115,10,"2012-04-16"
"2372","2012-06-13",85,10,"2012-05-02"
"2373","2012-06-13",125,20,"2012-05-03"
"2374","2012-06-13",54,5,"2012-06-04"
"2375","2012-06-13",180,20,"2012-05-26"
"2382","2012-06-13",8,10,"2012-06-12"
"2384","2012-09-19",7,15,"2012-Sep-19"
"2385","2012-09-19",8,15,"2012-Sep-19"
"2387","2012-09-19",11,30,"2012-04-18"
"2390","2012-09-19",17,15,""
"2392","2012-09-19",19,20,""
"2393","2012-09-19",14,25,"2012-Sep-19"
"2394","2012-09-19",22,5,"2012-08-10"
"2397","2012-09-19",28,40,"2012-Sep-19"
"2407","2012-09-19",47,40,"2012-Sep-19"
"2409","2012-09-19",49,100,"2012-Sep-19"
"2410","2012-09-19",50,40,"2012-06-15"
"2411","2012-09-19",51,58.08,""
"2412","2012-09-19",54,40,"2012-06-14"
"2425","2012-09-19",74,7,"2012-06-15"
"2427","2012-09-19",77,60,"2012-06-12"
"2452","2012-09-19",116,40,"2012-07-12"
"2454","2012-09-19",118,20,"2012-08-10"
"2455","2012-09-19",119,17,"2012-Sep-19"
"2458","2012-09-19",125,88.77,"2012-06-22"
"2463","2012-09-19",130,32.8,"2012-07-09"
"2465","2012-09-19",133,60,"2012-06-19"
"2466","2012-09-19",135,30,"2012-08-10"
"2467","2012-09-19",136,35,""
"2469","2012-09-19",142,20,"2012-06-14"
"2471","2012-09-19",146,20,"2012-Sep-19"
"2483","2012-09-19",172,40,""
"2485","2012-09-19",175,40,"2012-06-14"
"2495","2012-09-19",198,6.65,""
"2496","2012-09-19",199,20,"2012-06-21"
"2497","2012-09-19",201,20,"2012-Sep-19"
"2498","2012-09-19",202,20,"2012-07-17"
"2505","2012-09-19",212,40,"2012-Sep-19"
"2507","2012-09-19",215,60,"2012-06-18"
"2508","2012-09-19",219,30,"2012-07-04"
"2509","2012-09-19",221,62.63,""
"2521","2012-09-19",240,45,"2012-06-14"
"2526","2012-09-19",200,40,"2012-06-14"
"2527","2012-09-19",189,30,"2012-07-09"
"2536","2012-09-19",72,10,"2012-Sep-19"
"2537","2012-09-19",254,20,"2012-Sep-19"
"2540","2012-09-19",171,10,"2012-Sep-19"
"2541","2012-09-19",155,20,"2012-Sep-19"
"2545","2012-09-19",6,5,""
"2554","2012-10-06",10,20,"2012-Sep-20"
"2559","2012-10-06",18,40,"2012-Sep-20"
"2565","2012-10-06",28,20,"2012-Sep-20"
"2568","2012-10-06",36,20,"2012-Oct-06"
"2571","2012-10-06",40,20,"2012-Sep-20"
"2585","2012-10-06",60,25,"2012-Sep-20"
"2599","2012-10-06",79,10,"2012-Sep-26"
"2603","2012-10-06",84,40,"2012-Sep-26"
"2607","2012-10-06",88,30,"2012-Sep-21"
"2613","2012-10-06",239,50,"2012-Sep-20"
"2618","2012-10-06",106,35,"2012-Sep-20"
"2630","2012-10-06",124,20,"2012-Sep-20"
"2636","2012-10-06",130,40,"2012-Sep-20"
"2642","2012-10-06",140,7,"2012-Sep-26"
"2658","2012-10-06",165,15,"2012/09/20"
"2665","2012-10-06",175,20,"2012-Sep-20"
"2668","2012-10-06",180,25,"2012-Sep-26"
"2703","2012-10-06",236,40,"2012-Sep-20"
"2706","2012-10-06",240,53.35,"2012-Sep-20"
"2709","2012-10-06",247,20,"2012-Sep-20"
"2716","2012-11-28",2,2,"0"
"2718","2012-11-28",6,5,"0"
"2730","2012-11-28",25,3,"0"
"2732","2012-11-28",28,50,"0"
"2733","2012-11-28",33,20,"0"
"2745","2012-11-28",50,30,"0"
"2747","2012-11-28",54,10,"0"
"2754","2012-11-28",62,60,"0"
"2786","2012-11-28",108,20,"0"
"2804","2012-11-28",131,5,"0"
"2813","2012-11-28",147,40,"0"
"2822","2012-11-28",160,19.55,"0"
"2828","2012-11-28",169,20,"0"
"2836","2012-11-28",184,40,"0"
"2839","2012-11-28",192,20,"0"
"2841","2012-11-28",196,20,"0"
"2846","2012-11-28",201,5,"0"
"2849","2012-11-28",205,20,"0"
"2858","2012-11-28",219,25,"0"
"2880","2012-11-28",46,10,"0"
"2883","2012-11-28",20,10,"0"
"2884","2012-11-28",32,15,"0"
